Group,Block,AUDPC,Peak
1,1,0,0
1,2,0,0
1,3,14.75,0
1,4,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
3,1,0,0
3,2,0,0
3,3,290.75,1
3,4,0,0
4,1,0,0
4,2,0,0
4,3,71.5,0.5
4,4,78.75,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
9,1,2153.5,42
9,2,2015.75,45
9,3,1248.75,28
9,4,1933,50.5
