Group,Block,AUDPC,Peak
1,1,44.5,1
1,2,0,0
1,3,66,1.5
1,4,58.75,1
2,1,7.25,0.5
2,2,0,0
2,3,0,0
2,4,0,0
3,1,198.5,3.5
3,2,88.75,1
3,3,103.25,2
3,4,0,0
4,1,22.25,0.5
4,2,0,0
4,3,0,0
4,4,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
6,1,27.5,0
6,2,0,0
6,3,0,0
6,4,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
9,1,3824.25,54.5
9,2,3727,64
9,3,2753.5,53.5
9,4,571.75,10
